cantera_name,range_label,T_low_K,T_high_K,a0,a1,a2,a3,a4,a5,a6,a7,a8
Valine(aq),high,500.0,643.15,-1588.5831010221696,582.400340964659,-2811.703772761198,47.24496495245079,-0.2254508020253137,0.0004185550162894,-2.685744333765367e-07,1483.6616085919418,8834.763758376383
Glutamine__dG_m200(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,5152.645728412419,8877.915704732994
Glutamine__dG_m200(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-102051.51913764916,142094.92533298468
Glutamine__dG_m160(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,9963.540229934053,8877.915704732994
Glutamine__dG_m160(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-97240.62463612751,142094.92533298468
Glutamine__dG_m120(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,14774.434731455684,8877.915704732994
Glutamine__dG_m120(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-92429.73013460588,142094.92533298468
Glutamine__dG_m080(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,19585.329232977318,8877.915704732994
Glutamine__dG_m080(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-87618.83563308425,142094.92533298468
Glutamine__dG_m040(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,24396.223734498948,8877.915704732994
Glutamine__dG_m040(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-82807.94113156262,142094.92533298468
Glutamine__dG_000(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,29207.11823602058,8877.915704732994
Glutamine__dG_000(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-77997.04663004099,142094.92533298468
Glutamine__dG_p040(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,34018.01273754221,8877.915704732994
Glutamine__dG_p040(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-73186.15212851936,142094.92533298468
Glutamine__dG_p080(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,38828.90723906384,8877.915704732994
Glutamine__dG_p080(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-68375.25762699773,142094.92533298468
Glutamine__dG_p120(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,43639.80174058548,8877.915704732994
Glutamine__dG_p120(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-63564.3631254761,142094.92533298468
Glutamine__dG_p160(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,48450.69624210711,8877.915704732994
Glutamine__dG_p160(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-58753.46862395447,142094.92533298468
Glutamine__dG_p200(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,53261.59074362874,8877.915704732994
Glutamine__dG_p200(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-53942.57412243283,142094.92533298468
