T_K,Alanine(aq),Arginine(aq),Asparagine(aq),AsparticAcid(aq),C2H2(aq),GlutamicAcid(aq),Glutamine(aq),Glycine(aq),H2O(l),HCN(aq),Histidine(aq),Isoleucine(aq),Leucine(aq),Lysine(aq),NH3(aq),Phenylalanine(aq),Proline(aq),Serine(aq),Threonine(aq),Tryptophan(aq),Tyrosine(aq),Valine(aq)
473.15,-407399.5470316631,-313189.9114550653,-575251.3606282873,-770394.7335906922,186897.51244195865,-778648.6759276814,-584171.7055844028,-401778.3453151848,-252690.6012323252,91545.83088297844,-263191.69986350194,-396643.2454451894,-406999.7574158783,-393685.0409760907,-49169.49454107562,-266438.9731159092,-353883.3775573484,-559938.3743246191,-544179.0405337389,-175572.42822369776,-444562.9632876026,-404621.4284641115
483.15,-409830.6265855231,-318135.4496462256,-578541.9263413775,-773617.9358890108,184754.5722179332,-782287.3018553631,-587899.3505461606,-403726.3490298868,-253744.7096851132,89640.22472743766,-267294.2313512966,-400577.8399179855,-411026.2655982317,-397619.6772832754,-50642.7335629381,-270775.32295110874,-357027.97228472866,-562671.3531385668,-547168.825646318,-180186.44272557183,-448914.5427711757,-408060.21541422326
493.15,-412293.020786741,-323145.28426729684,-581866.8725353525,-776878.5467907045,182567.9754668921,-785969.5605073519,-591672.0776173476,-405686.3933820947,-254814.2735242685,87707.61646024458,-271449.33072103024,-404588.2842266312,-415131.1278349403,-401618.42397844326,-52133.780817925806,-275192.15817149234,-360215.88536015485,-565434.3744696439,-550205.3314202569,-184885.76056981788,-453344.9432023129,-411560.8096271544
503.15,-414784.6600393494,-328215.9886495796,-585223.7833255504,-780174.3354603705,180336.5476572762,-789693.067688,-595487.2964058673,-407656.6606619733,-255898.95749505688,85748.36994373391,-275653.7015888115,-408671.7155726711,-419311.4105039222,-405678.8161750334,-53642.3717844728,-279686.2369126622,-363444.8728794757,-568225.4055149455,-553286.4281523112,-189666.7037462968,-457851.1318177602,-415120.5953836954
513.15,-417303.2877225061,-333343.9095785916,-588610.015097221,-783502.887557747,178058.6129209827,-793455.2798721368,-599342.2246865889,-409635.0813621582,-256998.43978319972,83762.7174380691,-279903.76760288136,-412825.2055249459,-423564.116294405,-409798.3236665535,-55168.29971675181,-284254.21558584215,-366712.54543841927,-571042.2214541562,-556409.8787286467,-194525.4573322418,-462429.99351677473,-418736.85220611823
523.15,-419846.4026848982,-338525.0966820557,-592022.6302761467,-786861.5517111807,175731.85265242905,-797253.4463241871,-603233.8311622059,-411619.26195561705,-258112.4115027493,81750.72630907687,-284195.5861337992,-417045.7283798107,-427886.15240380826,-413974.32785709953,-56711.43101459393,-288892.6080963599,-370016.3233923666,-573882.3484978627,-559573.3027248048,-199458.0191474836,-467078.3010047503,-422406.7144509676
533.15,-422411.1742211002,-343755.1944415514,-595458.298159095,-790247.3583277484,173353.10956532194,-801084.5350958871,-607158.748028599,-413606.3798422462,-259240.57610793156,79712.25476904075,-288524.7199166794,-421330.1104669055,-432274.279548196,-418204.0816481762,-58271.725204946095,-293597.72079971293,-373353.36801022966,-576742.9792198542,-562774.1206682664,-204460.11965159877,-471792.6638365727,-426127.1090683853
543.15,-424994.32651097584,-349029.301653499,-598913.1608831317,-793656.9113569742,170918.0951293179,-804945.1375058347,-611113.15621698,-415593.0360745261,-260382.6487197629,77646.88037062014,-292886.06387702964,-425674.9715394678,-436725.05328090384,-422484.665444674,-59849.26730286632,-298365.5751226103,-376720.4922155259,-579620.8573865716,-566009.483537472,-209527.12557392404,-476569.4714884733,-429894.6778901848
553.15,-427591.9612995142,-354341.75117628305,-602382.6264596084,-797086.2199086729,168420.95812144698,-808831.3175690683,-615092.605886899,-417575.0318548994,-261538.35535186008,75553.79729468521,-297273.57844666473,-430076.6291638001,-441234.72815104463,-426812.9119947815,-61444.31389229983,-303191.7822152704,-380114.02026081184,-582512.1008493826,-569276.1610889845,-214653.88424520948,-481404.7972622801,-433705.6547025341
563.15,-430199.2846664576,-359685.77089139377,-605861.0495315269,-800530.438558647,165853.61734050937,-812738.3801405267,-619091.7398614456,-419547.0234421708,-262707.43201466434,73431.65681967053,-301679.8786920063,-434530.95297306986,-445799.1116779184,-431185.2912722728,-63057.36457992416,-308071.3512144968,-383529.57166758593,-585411.9284223717,-572570.3703020867,-219834.48516112575,-486294.25114098325,-437555.6769447544
573.15,-432810.1699863924,-365052.9445000691,-609341.2209488977,-803983.4528799106,163204.68062813193,-816660.502535842,-623103.8532210549,-421501.9676715295,-263889.6236795702,71278.30627797682,-306095.57774038595,-439033.1372041924,-450413.3366268345,-435597.7317030735,-64689.27898875222,-312998.38846908853,-386961.7177643111,-588314.2228949378,-575887.5037482938,-225061.88520144115,-491232.75078723935,-441439.4883342353
583.15,-435416.4160893784,-370432.2971977155,-612813.5011872029,-807437.1759809267,160457.60509290817,-820590.1099264793,-627120.1462410903,-423430.1796671318,-265084.68310986954,69090.34382322874,-310508.1724734,-443577.3170567815,-455071.4770139664,-440045.31846350274,-66341.47630156683,-317965.58937602385,-390403.3992966472,-591210.7891242758,-579221.6695673767,-230327.2750070113,-496214.135015962,-445350.43579533935
593.15,-438006.4000303078,-375808.636207303,-616264.2464215689,-810880.271088149,157587.3506121327,-824516.7417962177,-631128.3682488078,-425317.620387978,-266292.36965223734,66862.3076258739,-314900.0200530481,-448155.8746172474,-459765.8534741849,-444521.7475133383,-68016.29869898706,-322963.3180791388,-393844.8694508311,-594090.0065428067,-582564.8571924284,-235618.93101595275,-501230.4642592553,-449279.5576727935
603.15,-440562.4175113943,-381159.28427452827,-619672.7028744085,-814295.6333652545,154553.73365033147,-828424.8221176006,-635110.1469221435,-427142.5092873946,-267512.4483306021,64585.058696037006,-319244.3452977368,-452758.0840526848,-464485.6777903216,-449018.26405053405,-69717.73681293297,-327977.80724145984,-397271.613961228,-596934.1691758948,-585905.2985285524,-240919.9680610082,-506270.6587310984,-453213.7940308959
613.15,-443054.752890275,-386446.80450355785,-623004.0834195473,-817654.7782364148,151286.57379613808,-832288.6944132055,-639035.0390850315,-428867.7656384848,-268744.69078108977,62242.16092047678,-323496.3400575054,-457367.1043944608,-469214.0445563399,-453521.30968302896,-71453.05420789603,-332987.15859990584,-400659.7193749963,-599713.554858551,-589223.8210691684,-246203.3448096604,-511317.4786526928,-457132.00528208073
623.15,-445425.9623018038,-391599.73883151694,-626191.2213614406,-820902.9763683941,147646.23975859742,-836059.4801855885,-642844.7773324179,-430420.9605472776,-269988.87893117865,59800.25125312858,-327569.57715419534,-461952.04194783367,-473919.9914764452,-458006.3219290244,-73237.11026111922,-337950.7782867127,-403963.611771452,-602370.7067755995,-592484.1998462105,-251418.66669047315,-516339.5623569259,-460994.4417605678
633.15,-447535.3956643567,-396444.6955979394,-629069.8257749489,-823906.8142160834,143284.06318183214,-839618.7572760035,-646397.7176559129,-431623.4985587893,-271244.8267175809,57174.9158622003,-331252.7714425621,-466440.0510532194,-478530.5958342473,-462415.9796834352,-75107.68352416766,-342772.21552148205,-407072.8317451039,-604764.9521794936,-595599.1664058821,-256445.7518954508,-521263.47705255833,-464705.6521654411
643.15,-448785.11064538814,-400248.653272371,-630941.9556206238,-826100.6933641094,136700.1456246968,-842466.4153505724,-649094.4176787422,-431712.93406597263,-272512.3844685146,54000.19558136122,-333648.55102883547,-470528.5699899647,-482743.1907540616,-466513.9136342787,-77228.99124981985,-347048.9786719598,-409520.7373354798,-606298.3018535194,-598201.4056283225,-260781.98082674312,-525785.7278335874,-467864.61517107807
