amino_acid,NH3_frac,source_batch,ratio_snap,X_eq,log10_X_eq,formation_call,n_eq_mol,HCN_mol,C2H2_mol,yield_fraction_HCN,yield_pct_HCN
glutamine,0.0333333333333333,B_nh3,2.083333333333333,0.0081688223281143,-2.087840549742635,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0391666666666666,B_nh3,2.083333333333333,0.0081236601602166,-2.090248252873056,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.045,B_nh3,2.083333333333333,0.0080789946140035,-2.0926426813983903,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamine,0.0508333333333333,B_nh3,2.083333333333333,0.0080348175426849,-2.0950239808925257,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0566666666666666,B_nh3,2.083333333333333,0.0079911209766925,-2.097392294547798,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0624999999999999,B_nh3,2.083333333333333,0.0079478971188872,-2.099747763226637,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamine,0.0683333333333333,B_nh3,2.083333333333333,0.0079051383399209,-2.1020905255118394,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0741666666666666,B_nh3,2.083333333333333,0.0078628371737468,-2.104420717755517,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0799999999999999,B_nh3,2.083333333333333,0.0078209863132739,-2.10673847412669,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0858333333333333,B_nh3,2.083333333333333,0.0077795786061588,-2.109043926657656,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.0916666666666666,B_nh3,2.083333333333333,0.0077386070507308,-2.1113372052891277,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamine,0.0974999999999999,B_nh3,2.083333333333333,0.0076980647920453,-2.1136184379141576,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.1033333333333333,B_nh3,2.083333333333333,0.0076579451180599,-2.11588775042097,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamine,0.1091666666666666,B_nh3,2.083333333333333,0.0076182414559305,-2.118145266734611,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamine,0.1149999999999999,B_nh3,2.083333333333333,0.007578947368421,-2.120391108857582,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.1208333333333333,B_nh3,2.083333333333333,0.0075400565504241,-2.122625396909399,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.1266666666666666,B_nh3,2.083333333333333,0.0075015628255886,-2.124848249165138,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.1324999999999999,B_nh3,2.083333333333333,0.0074634601430496,-2.127059782093,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.1383333333333333,B_nh3,2.083333333333333,0.0074257425742574,-2.129260110390944,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.1441666666666666,B_nh3,2.083333333333333,0.0073884043099025,-2.1314493470223725,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamine,0.15,B_nh3,2.083333333333333,0.0073514396569328,-2.133627603250932,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
