study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance,amino_acid
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008392079907935,1.0,0.02,0.0875,0.0,4.375,0.0,ARG_INV_000022,0.0,,0.0,,False,below_threshold,ok,,5.212785307495089e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008314589940709,1.0,0.02,0.0916666666666666,0.0,4.583333333333334,0.0,ARG_INV_000023,0.0,,0.0,,False,below_threshold,ok,,1.5979221943630437e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0009675420005805,1.0,0.02,0.0958333333333333,0.0,4.791666666666667,0.0,ARG_INV_000024,0.0,,0.0,,False,below_threshold,ok,,3.780893944951988e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008908749878173,1.0,0.02,0.1,0.0,5.0,0.0,ARG_INV_000025,0.0,,0.0,,False,below_threshold,ok,,3.1720657846433026e-15,False,arginine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m200(aq),M_8c2f2490fa53,0.0,101325.0,0.0046299999958137,1.0,0.02,0.042,0.0,2.1,-200.0,ASP_DG_000001,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m160(aq),M_82a85ae07985,0.0,101325.0,0.00450858399563,1.0,0.02,0.042,0.0,2.1,-160.0,ASP_DG_000002,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m120(aq),M_e4e053e5ba40,0.0,101325.0,0.0050620840047486,1.0,0.02,0.042,0.0,2.1,-120.0,ASP_DG_000003,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m080(aq),M_d8f5dbd5fe13,0.0,101325.0,0.0044785000063711,1.0,0.02,0.042,0.0,2.1,-80.0,ASP_DG_000004,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m040(aq),M_7b4502af506c,0.0,101325.0,0.0044722500024363,1.0,0.02,0.042,0.0,2.1,-40.0,ASP_DG_000005,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_000(aq),M_188f0e335dd0,0.0,101325.0,0.004614457997377,1.0,0.02,0.042,0.0,2.1,0.0,ASP_DG_000006,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p040(aq),M_edc9736db57f,0.0,101325.0,0.0044726250052917,1.0,0.02,0.042,0.0,2.1,40.0,ASP_DG_000007,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p080(aq),M_42268cdf9e22,0.0,101325.0,0.0049341250123688,1.0,0.02,0.042,0.0,2.1,80.0,ASP_DG_000008,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p120(aq),M_6a3284cfd345,0.0,101325.0,0.0045632499968633,1.0,0.02,0.042,0.0,2.1,120.0,ASP_DG_000009,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p160(aq),M_ab1a251e40f1,0.0,101325.0,0.004714958005934,1.0,0.02,0.042,0.0,2.1,160.0,ASP_DG_000010,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p200(aq),M_95592f0f6ec2,0.0,101325.0,0.0049266249989159,1.0,0.02,0.042,0.0,2.1,200.0,ASP_DG_000011,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,asparagine
asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,101325.0,0.0053045829990878,1.0,0.02,0.0,0.0,0.0,0.0,ASP_INV_000001,0.0,,0.0,,False,below_threshold,ok,,0.0,False,asparagine
asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,101325.0,0.0009563749918015,1.0,0.02,0.0041666666666666,0.0,0.2083333333333333,0.0,ASP_INV_000002,0.0,,0.0,,False,below_threshold,ok,,1.0840257360050348e-15,False,asparagine
asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,101325.0,0.0008855839987518,1.0,0.02,0.0083333333333333,0.0,0.4166666666666667,0.0,ASP_INV_000003,0.0,,0.0,,False,below_threshold,ok,,5.182240374263281e-15,False,asparagine
asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,101325.0,0.0013547919952543,1.0,0.02,0.0125,0.0,0.625,0.0,ASP_INV_000004,0.0,,0.0,,False,below_threshold,ok,,3.2258296115016613e-15,False,asparagine
asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,101325.0,0.0009065839985851,1.0,0.02,0.0166666666666666,0.0,0.8333333333333334,0.0,ASP_INV_000005,0.0,,0.0,,False,below_threshold,ok,,1.4993365605870281e-15,False,asparagine
